        SNR MPGp2 MPGp1 LSSDP LScAM LUDAM LUDcAM IRLS IRLSc
        %0.0156    1.7997    1.9030    1.3614    0.8301    0.6382    1.9067    1.5447    0.5753
        %    0.0312    0.7769    1.6481    0.6431    0.1766    0.2060    0.1099    0.6056    0.0515
            0.0625    0.0117    0.0219    0.1689    0.0594    0.0800    0.0219    0.0117    0.0325
            0.1250    0.0239    0.0020    0.0239    0.0329    0.0377    0.0181    0.0020    0.0282
            0.2500    0.0023    0.0006    0.0023    0.0258    0.0067    0.0251    0.0006    0.0264
            0.5000    0.0004    0.0002    0.0004    0.0248    0.0007    0.0288    0.0002    0.0265
            1.0000    0.0002    0.0001    0.0002    0.0247    0.0003    0.0312    0.0001    0.0267
            %4.0000    0.0001    0.00001   0.0001    0.0246    0.0001    0.0342    0.00001   0.0261
        
